100
20
6	7	9	7	6	7	9	9	5	7	8	7	7	7	8	5	7	7	8	8	6	5	8	5	8	5	5	5	7	6	6	6	9	9	5	5	6	5	7	5	8	9	6	7	9	6	8	6	9	9	8	7	8	9	6	8	6	6	6	5	9	7	9	8	6	6	9	6	7	5	7	5	5	5	9	6	5	8	7	9	6	8	8	7	5	6	5	7	9	6	6	9	5	8	7	8	5	8	6	8	
68	0	0	68	0	68	0	0	68	68	0	68	0	68	0	0	68	0	0	0	
0	0	0	0	0	58	58	0	0	58	58	58	0	0	0	58	0	0	0	58	
11	0	11	11	11	11	0	11	0	0	11	0	11	0	11	11	11	11	0	11	
66	66	66	0	66	0	0	66	66	0	66	66	66	0	0	0	66	0	66	66	
97	97	0	0	97	97	0	97	97	0	0	97	97	0	97	0	97	97	0	0	
0	0	20	20	0	0	20	0	20	0	0	20	20	0	20	0	20	20	0	0	
0	0	76	76	0	76	0	76	0	76	76	0	0	76	76	0	0	76	76	0	
0	60	0	0	0	60	60	60	0	0	60	0	0	60	60	0	0	0	60	60	
39	39	0	0	39	39	0	0	39	0	39	39	39	39	39	39	39	0	39	39	
0	76	76	76	76	76	0	76	76	76	0	76	76	76	0	76	76	0	76	76	
0	0	76	0	76	76	0	76	76	76	76	76	0	76	0	76	0	76	0	0	
0	73	73	73	73	73	73	73	0	73	73	73	0	0	73	73	0	0	0	0	
0	0	0	94	94	0	94	94	0	94	94	0	0	0	0	0	94	94	0	94	
0	0	0	0	72	72	72	0	72	0	0	0	72	72	0	0	72	72	0	72	
77	77	0	0	0	0	0	0	77	0	0	77	77	0	77	77	0	0	0	0	
0	11	11	11	11	11	0	11	11	0	11	11	11	11	11	0	11	0	11	0	
75	75	0	75	75	75	75	75	75	75	75	0	75	0	75	0	0	0	75	0	
25	0	25	25	0	25	25	0	0	25	25	25	0	0	0	25	0	0	0	25	
76	76	0	0	0	0	0	76	0	0	76	0	76	0	0	0	0	0	76	76	
85	85	0	85	85	0	85	85	85	85	0	0	0	85	85	0	85	0	85	0	
96	96	0	0	96	0	0	96	0	96	0	96	96	0	96	96	96	0	96	96	
52	0	0	0	52	52	52	52	0	52	0	0	52	0	0	52	52	52	52	52	
52	0	0	52	0	52	0	52	52	52	0	0	52	52	0	0	0	0	52	52	
89	0	89	0	89	0	89	89	89	89	89	89	89	89	0	89	89	89	89	0	
0	0	0	0	51	51	0	51	51	51	0	51	0	51	51	0	0	0	0	0	
0	0	0	88	88	0	88	88	0	88	88	88	88	88	0	0	0	88	88	88	
0	52	52	0	0	52	52	52	0	52	0	0	52	52	0	0	52	52	52	52	
0	0	89	89	89	89	0	0	0	0	0	0	0	89	89	89	89	89	89	89	
0	0	28	28	0	28	28	0	0	28	28	0	0	0	28	0	0	28	28	28	
96	0	96	96	96	0	0	0	96	0	0	0	0	0	0	96	0	96	96	0	
72	72	72	0	72	0	72	0	0	0	72	72	72	72	72	72	72	0	0	0	
21	21	0	21	0	21	21	0	0	21	21	0	0	0	0	0	0	21	0	0	
88	0	88	88	0	0	88	88	0	0	0	88	0	0	0	88	0	0	88	88	
0	79	0	0	0	0	0	79	0	0	79	79	79	79	0	79	0	79	79	0	
0	0	23	23	0	23	23	0	23	23	0	23	23	0	23	23	0	0	23	0	
53	0	0	53	0	53	53	53	53	0	53	0	0	53	53	0	0	0	0	53	
75	0	75	0	75	75	75	75	0	75	0	75	0	75	0	0	0	0	0	75	
0	0	0	0	0	82	82	0	82	0	82	82	82	0	82	0	82	82	0	0	
28	28	0	28	0	28	0	28	0	0	0	0	28	0	0	0	28	28	0	28	
90	90	90	90	90	0	0	0	0	90	90	90	90	0	90	90	0	90	90	0	
0	0	19	0	19	0	0	19	0	19	0	0	0	0	0	0	19	19	19	0	
0	0	0	74	0	74	74	74	0	74	74	0	0	0	0	0	0	74	74	0	
0	0	0	82	82	82	0	0	0	82	0	0	0	0	0	82	0	0	0	0	
74	74	0	74	0	74	74	0	0	0	74	0	74	74	74	0	74	74	0	74	
0	0	0	66	66	66	0	0	66	66	66	0	66	0	0	66	66	0	0	66	
98	0	0	0	0	98	0	0	98	98	98	98	98	98	98	98	0	98	0	98	
66	0	0	0	0	0	0	0	66	0	0	66	66	0	0	66	66	66	0	0	
49	0	0	49	0	49	0	0	49	0	0	0	49	49	0	49	0	0	0	49	
0	0	0	14	0	0	14	0	14	0	14	0	0	0	0	0	14	14	0	14	
0	43	43	0	0	43	43	0	43	43	0	0	43	43	43	43	0	43	0	0	
49	0	0	49	49	0	0	49	49	49	0	0	49	0	0	49	49	49	49	49	
38	38	38	0	38	0	0	38	38	0	38	0	38	38	38	0	38	38	0	38	
90	90	90	0	0	90	90	90	0	90	0	90	90	90	90	90	0	0	90	0	
98	0	0	98	98	0	98	98	0	98	0	0	0	0	0	98	98	0	98	98	
52	0	0	0	52	52	0	52	0	52	0	52	52	0	0	0	0	52	52	0	
0	0	49	49	49	0	0	0	49	0	49	0	0	49	49	0	49	0	49	0	
0	64	64	0	64	0	64	0	0	0	64	64	0	64	64	0	64	0	0	64	
80	80	0	80	0	80	0	80	80	80	80	0	0	80	0	80	0	0	0	0	
26	26	26	0	0	26	0	0	26	0	26	26	26	0	26	26	26	0	0	26	
45	45	0	45	45	45	45	45	45	0	0	45	45	0	45	45	45	0	0	45	
0	0	0	0	0	0	0	79	79	79	79	79	0	79	0	79	0	0	79	79	
0	0	0	48	0	0	0	0	0	48	48	48	48	48	0	0	48	0	48	48	
47	0	47	47	47	47	47	47	0	0	0	47	0	47	0	47	0	0	47	47	
74	0	74	0	0	74	0	0	0	0	0	0	0	74	74	74	74	0	74	0	
19	0	19	19	19	19	19	19	0	19	19	19	0	0	19	0	19	19	0	19	
0	0	74	0	0	74	74	0	74	0	74	74	0	0	0	74	0	74	0	0	
0	0	67	67	0	0	67	67	67	67	67	67	67	67	67	67	0	0	67	67	
49	0	0	0	0	0	0	49	49	49	49	0	0	0	0	49	49	0	49	49	
24	24	0	24	24	24	0	24	0	0	24	24	0	24	24	24	0	0	24	0	
86	86	86	86	86	0	0	0	0	0	86	86	86	86	0	86	0	86	86	86	
21	21	0	0	21	21	21	21	21	21	21	0	0	0	21	0	0	21	0	0	
95	95	95	95	95	95	95	95	95	95	0	0	0	95	95	95	0	95	95	95	
0	0	85	0	85	85	0	0	85	0	85	0	85	0	0	0	85	85	85	0	
0	0	80	0	0	0	0	0	0	80	80	0	80	0	0	0	0	80	80	0	
0	0	45	45	0	45	45	45	0	0	45	0	0	45	45	0	0	0	0	45	
0	0	0	0	0	38	0	0	0	38	0	38	0	38	0	38	0	0	38	0	
51	0	51	51	0	0	0	0	51	0	0	0	51	51	51	51	51	51	51	51	
0	70	70	0	0	0	0	0	70	70	0	70	0	70	70	70	0	0	70	0	
22	22	22	0	22	0	0	0	22	22	22	22	0	22	0	22	0	0	22	0	
0	0	45	45	45	45	45	0	45	45	0	45	0	45	45	0	0	0	45	45	
25	0	25	0	0	25	0	0	0	25	25	25	0	25	0	25	25	25	25	0	
60	0	0	60	60	60	60	60	60	60	60	0	60	60	0	0	0	0	0	0	
24	24	0	0	24	0	24	24	24	24	0	0	24	0	0	24	24	24	24	24	
0	0	39	39	0	0	0	39	0	39	39	0	0	0	0	39	0	39	39	39	
0	43	0	0	43	43	43	43	43	43	43	0	0	0	0	43	43	43	0	0	
37	37	37	0	0	37	0	0	0	37	37	0	37	37	37	37	37	37	37	0	
0	0	95	95	95	0	95	95	95	0	0	95	0	95	95	95	95	0	95	0	
72	72	72	72	72	72	72	72	72	0	0	72	0	0	72	72	0	72	0	72	
72	72	72	72	72	72	72	0	72	0	72	72	72	0	72	0	0	0	72	0	
0	43	43	43	0	0	43	43	43	43	43	43	0	0	43	0	0	43	0	43	
35	0	0	35	35	35	35	0	35	0	0	0	0	35	0	0	0	0	0	0	
0	0	0	45	45	0	45	0	0	45	45	45	0	45	45	0	0	0	0	45	
11	0	11	11	11	0	0	0	11	11	11	11	11	11	11	0	0	11	11	0	
0	89	0	89	89	89	89	89	89	0	89	89	0	0	89	0	0	89	89	0	
0	14	0	14	14	0	0	14	14	0	14	14	0	14	14	0	14	0	0	0	
0	82	0	82	0	82	82	82	82	0	0	0	0	82	82	0	82	82	82	0	
0	0	84	0	0	0	84	0	84	0	84	0	84	84	84	84	0	84	84	84	
0	0	0	29	0	0	29	29	29	0	29	0	0	0	0	29	29	29	29	0	
0	0	0	95	95	0	95	95	95	0	0	95	95	95	95	0	95	95	0	0	
56	0	0	0	0	0	56	0	56	0	56	56	0	56	0	0	0	56	0	0	
39	0	39	0	39	39	0	39	0	39	39	39	39	0	39	39	39	39	0	0	
0	0	0	0	63	63	0	63	0	0	0	63	63	63	63	0	63	63	63	0	
55	0	55	55	55	0	55	0	55	0	0	55	0	55	55	0	55	0	55	55	
60	60	60	0	0	0	0	60	60	0	60	60	60	60	60	60	60	60	0	0	
0	0	0	0	52	0	52	52	52	0	0	0	0	0	0	0	52	52	0	0	
59	0	0	59	0	59	59	0	0	59	0	59	59	59	59	59	59	59	0	59	
13	0	13	0	13	13	0	0	0	0	13	0	13	0	0	13	13	0	13	0	
29	29	0	0	29	0	29	0	29	0	29	0	29	0	29	29	29	29	0	0	
0	57	57	0	0	57	57	0	0	57	57	57	57	0	0	0	0	57	0	0	
0	0	31	0	0	0	0	0	0	31	31	0	31	31	31	0	31	31	0	0	
0	86	0	86	0	0	86	0	0	0	0	0	86	0	0	0	86	0	86	0	
0	0	16	0	16	16	0	0	0	0	16	16	16	0	16	16	16	0	16	0	
0	0	21	21	0	21	21	0	0	21	0	0	0	0	0	0	0	0	0	0	
49	49	49	0	49	49	0	49	49	0	0	0	49	49	49	49	0	49	49	49	
0	0	0	29	29	29	0	0	0	0	0	29	0	0	0	0	29	29	29	29	
0	71	71	0	0	71	0	71	71	71	0	71	71	71	0	71	71	71	71	0	
32	32	32	0	0	0	32	0	32	0	32	32	0	32	0	0	0	0	32	0	
98	98	0	98	98	98	98	0	0	0	0	0	98	98	98	98	0	0	0	0	
0	11	0	11	0	11	11	11	0	11	11	11	0	0	0	11	11	11	0	0	
0	0	0	0	67	67	0	0	67	0	67	67	67	67	67	0	67	67	67	0	
0	0	0	0	0	44	44	0	0	0	44	44	44	44	44	0	44	0	0	0	
0	0	29	29	0	29	0	29	29	0	29	29	29	29	0	29	29	0	29	0	
0	0	48	0	48	48	48	0	0	0	0	48	0	0	48	48	0	0	48	48	
0	0	0	0	92	92	92	0	0	92	0	0	0	92	92	92	92	92	0	0	
0	10	10	10	10	10	10	10	0	0	10	0	0	10	0	10	0	10	10	0	
0	0	0	0	23	23	23	0	23	0	23	23	0	0	23	0	23	0	0	23	
0	0	0	95	0	0	95	95	0	0	95	0	0	95	95	0	0	0	95	0	
0	0	44	0	44	44	0	44	44	44	44	0	0	44	44	0	44	44	0	44	
51	51	0	51	51	0	0	51	0	51	51	0	0	51	51	0	0	0	0	51	
0	0	24	0	24	24	0	24	0	0	0	24	0	24	24	0	24	0	24	24	
0	73	0	73	73	73	73	73	73	73	73	73	0	73	73	0	0	0	73	0	
0	0	0	0	25	0	25	0	25	25	25	25	25	0	0	0	25	25	0	0	
30	30	0	0	0	30	30	30	0	0	0	30	30	0	30	30	0	30	30	30	
0	0	88	0	0	0	0	88	88	0	0	0	88	88	0	88	88	88	0	0	
11	0	0	0	0	11	0	11	0	0	0	0	11	0	11	0	0	11	11	11	
0	74	0	74	0	74	0	0	0	74	0	74	0	0	0	0	74	0	0	74	
56	0	0	0	0	0	56	56	0	0	0	56	0	0	0	56	0	56	56	0	
45	45	45	45	0	45	0	45	0	45	45	0	0	45	0	0	0	0	0	0	
0	0	86	0	86	86	0	86	0	86	0	86	86	0	0	86	86	86	0	0	
42	42	42	42	0	0	42	42	42	0	42	0	0	0	42	0	0	42	42	0	
0	65	0	0	0	0	65	0	65	0	0	0	0	0	65	0	65	0	65	65	
92	0	92	0	92	92	0	0	0	92	0	92	92	0	0	0	0	0	92	0	
61	61	0	0	0	0	0	0	61	61	61	0	0	0	0	0	61	0	61	61	
0	0	46	46	46	46	0	0	46	0	46	46	46	0	0	0	46	46	46	46	
26	0	26	0	0	26	26	26	26	0	0	26	26	26	0	26	26	0	26	0	
0	77	77	77	77	77	77	77	77	0	77	0	77	77	0	0	0	0	77	0	
59	59	0	59	59	0	0	0	0	59	59	59	0	0	0	59	59	59	0	0	
27	0	0	0	27	0	0	27	27	27	27	27	0	27	0	27	0	0	0	0	
30	0	30	30	30	30	30	0	0	30	30	30	0	30	0	30	30	30	0	0	
0	0	0	0	24	0	24	0	24	0	24	0	0	24	0	24	0	0	24	0	
0	0	67	67	67	67	67	67	0	0	0	67	0	0	67	67	67	0	67	0	
34	34	0	34	0	34	34	0	34	34	0	34	34	0	0	34	0	34	34	0	
66	0	0	0	0	0	66	0	0	0	0	66	66	66	66	66	0	0	0	0	
68	68	68	68	0	0	0	0	0	68	68	0	0	68	68	0	68	68	68	0	
0	0	0	95	0	95	0	95	0	95	95	95	95	0	0	95	0	95	95	0	
56	56	56	0	56	0	56	0	0	56	56	0	0	56	56	56	0	56	56	0	
58	58	0	0	0	58	58	0	58	0	58	58	0	0	58	0	58	0	58	0	
0	0	0	0	82	82	82	82	82	0	82	82	0	0	0	0	0	0	0	82	
0	40	0	40	0	0	40	0	0	40	40	0	0	0	40	0	40	0	0	0	
29	29	0	0	29	0	0	0	29	0	29	0	0	29	29	29	0	29	29	29	
17	0	0	0	0	17	17	0	0	0	0	0	0	0	0	17	17	0	0	0	
14	0	14	0	0	0	14	14	14	0	0	0	14	0	0	14	0	14	14	14	
0	32	0	0	32	0	0	0	32	0	32	0	0	32	0	32	32	0	32	0	
57	57	57	57	57	0	0	57	0	57	0	57	0	0	57	57	57	57	0	0	
49	49	49	0	0	49	0	49	0	0	0	49	0	0	0	0	49	0	49	0	
67	67	67	67	67	67	67	0	0	67	67	0	0	0	0	0	67	0	67	0	
61	61	0	0	61	0	61	61	61	61	0	0	61	61	0	0	61	0	0	61	
0	0	0	46	46	0	0	46	46	46	46	46	0	0	46	46	46	46	0	0	
28	0	0	0	0	0	28	28	28	28	0	0	0	0	28	28	28	0	28	28	
16	0	0	0	16	0	16	0	0	16	0	0	0	0	0	0	16	16	0	16	
66	66	66	0	66	0	66	66	0	66	66	66	66	66	0	0	0	66	66	0	
64	64	64	64	0	0	0	0	0	64	0	0	0	0	64	64	0	64	64	64	
0	0	76	76	76	76	0	0	76	76	0	76	76	0	0	76	0	76	76	0	
0	39	39	0	0	39	0	0	39	39	0	39	39	0	39	39	39	39	39	39	
0	68	0	68	68	68	0	0	68	68	0	0	0	0	68	0	68	0	0	68	
83	83	83	0	0	83	0	0	0	83	0	83	83	0	83	83	0	83	0	83	
84	84	0	0	0	84	0	84	0	0	84	0	84	0	0	0	0	84	0	0	
0	89	0	0	0	0	89	0	0	0	89	0	89	0	0	89	0	89	0	0	
0	0	0	95	95	0	95	0	95	95	0	0	95	0	95	0	95	95	0	0	
81	0	0	81	81	0	0	81	81	0	0	81	0	0	0	0	0	0	0	0	
91	91	0	0	91	91	91	91	91	0	91	0	91	0	91	91	0	0	91	0	
0	27	0	27	27	27	0	27	0	0	27	0	0	27	0	27	0	0	0	0	
0	77	77	77	0	77	77	0	0	77	77	77	77	77	77	0	0	77	0	0	
63	63	63	63	0	0	63	63	0	0	0	0	63	63	63	0	63	0	63	0	
92	92	0	0	0	0	92	0	92	92	0	92	92	92	92	92	0	0	0	92	
0	90	90	0	90	0	0	90	0	0	90	90	90	90	0	90	0	0	90	90	
0	0	0	71	71	71	71	0	71	71	71	71	0	71	71	71	71	0	0	0	
0	74	0	74	0	74	74	74	74	0	0	74	0	74	74	74	74	74	74	0	
15	0	0	15	0	0	0	0	15	15	0	15	0	0	0	0	0	0	0	15	
0	64	64	0	0	64	64	64	0	0	0	0	64	0	64	0	0	64	64	64	
0	0	0	0	67	67	0	67	67	0	0	67	67	0	0	0	67	67	67	67	
0	84	84	84	0	84	0	0	0	84	84	84	0	0	84	0	84	84	84	84	
59	0	59	0	59	59	59	0	59	59	0	0	59	59	59	0	0	59	59	59	
87	0	0	0	87	87	87	0	87	0	87	0	0	87	87	0	0	0	87	0	
0	20	0	0	0	0	20	0	20	0	20	0	20	20	0	20	20	20	20	0	
92	0	92	0	0	92	0	0	92	92	0	0	92	92	92	92	92	92	92	0	
0	21	0	21	21	0	0	21	0	21	21	0	0	21	21	0	0	21	21	21	
33	33	33	33	33	0	33	0	33	33	33	33	0	0	33	0	0	0	33	0	
58	0	58	0	58	0	58	58	58	0	58	58	58	58	58	58	0	0	0	58	
46	0	46	0	0	0	0	0	46	0	0	46	46	46	0	0	0	46	0	0	
32	0	32	0	32	0	32	32	32	0	32	32	0	0	0	0	0	0	32	0	
10	0	0	0	10	0	0	0	0	0	0	10	0	0	0	0	10	10	0	10	
0	0	0	29	29	0	0	29	0	29	29	0	0	0	29	0	0	29	0	0	
81	81	0	0	81	0	0	81	0	81	81	81	0	0	81	0	81	81	81	0	
77	77	0	0	0	77	77	0	0	77	0	77	77	0	77	77	0	0	0	77	
71	71	0	71	71	71	0	71	71	71	0	0	71	0	0	0	0	0	71	0	
44	44	0	0	44	44	44	44	0	0	0	0	44	0	44	44	44	44	44	0	
78	0	78	0	0	0	78	78	0	0	0	0	0	78	0	78	78	78	78	0	
0	0	0	0	0	11	11	11	0	0	11	0	0	0	11	0	0	11	0	0	
81	0	0	0	81	81	0	0	81	0	0	81	81	81	0	81	81	0	0	81	
29	29	0	0	0	29	29	29	29	0	0	0	0	0	29	0	0	0	0	0	
0	12	12	12	12	12	0	0	0	12	0	0	12	0	12	12	12	0	12	12	
25	25	0	25	25	25	25	0	0	25	25	0	0	25	0	0	0	0	0	0	
38	38	0	38	38	0	38	0	0	38	0	0	0	0	38	0	0	0	0	38	
17	0	0	0	0	17	0	17	17	0	0	0	0	17	0	0	0	17	17	0	
73	0	73	0	0	73	73	0	73	0	73	0	73	0	73	0	73	73	0	0	
40	40	0	40	0	40	0	0	40	40	40	40	0	40	40	40	40	0	40	0	
0	95	0	0	0	95	0	0	95	95	0	0	0	95	0	0	0	0	95	95	
0	0	0	0	0	18	18	18	0	0	0	18	0	0	18	18	0	18	0	18	
0	0	77	0	77	77	0	77	77	77	0	77	0	0	0	0	0	0	0	77	
41	41	0	41	41	0	0	41	0	0	41	0	41	41	41	0	41	0	41	41	
13	13	0	0	0	13	0	0	0	0	13	13	13	13	0	0	13	13	0	0	
72	72	0	0	0	72	72	72	0	0	0	0	72	0	72	72	72	0	72	72	
0	72	72	72	72	0	0	72	0	0	72	72	0	0	0	72	0	0	0	0	
82	0	0	82	0	0	82	82	82	0	82	0	0	82	82	0	0	82	0	0	
70	70	0	0	0	70	0	0	0	70	0	0	0	0	70	70	0	70	70	70	
87	87	87	87	0	87	0	0	0	0	87	87	87	87	87	0	87	87	0	0	
88	88	88	88	88	88	88	0	0	0	88	0	88	88	88	88	88	0	0	88	
0	41	41	41	41	0	0	41	41	41	41	0	0	41	41	41	41	41	0	41	
0	66	0	0	0	0	66	66	0	66	66	66	66	66	0	0	66	66	66	0	
0	80	0	0	0	0	80	0	80	80	0	0	80	80	0	80	80	80	0	0	
0	68	0	0	0	68	0	68	0	68	68	68	68	68	0	68	0	68	0	68	
70	0	70	70	0	0	70	0	70	70	70	70	0	70	70	70	70	70	70	0	
0	0	88	0	88	0	88	88	88	88	0	88	0	0	0	0	0	88	0	0	
0	88	0	0	88	88	0	88	88	0	88	0	0	88	88	0	0	0	0	0	
13	13	0	0	0	0	0	0	0	0	0	13	0	0	0	0	13	0	0	0	
0	0	69	0	0	69	69	0	0	0	0	69	0	69	69	0	0	0	0	69	
0	50	0	0	50	50	0	0	0	0	50	50	0	0	0	0	0	0	50	50	
0	10	0	0	0	10	0	10	0	10	10	10	0	0	10	0	10	10	10	10	
0	0	98	0	98	0	98	0	98	98	98	98	0	0	98	0	0	98	98	0	
0	98	0	0	0	0	98	0	0	0	98	98	98	98	98	98	98	98	0	98	
36	0	0	36	0	0	36	0	0	0	0	36	0	0	36	0	36	0	36	0	
0	19	0	19	19	19	0	19	0	19	19	0	0	19	19	19	19	0	19	19	
0	83	0	83	0	0	83	0	83	83	0	83	0	0	0	0	83	0	0	83	
0	23	23	23	23	0	0	0	23	23	0	23	23	0	23	0	23	0	0	0	
98	0	0	98	98	0	0	98	98	0	98	98	0	0	0	0	0	0	98	0	
0	0	0	0	84	84	0	0	0	0	0	84	84	0	0	0	84	0	0	0	
71	71	71	0	71	71	0	71	71	0	0	71	0	0	0	0	0	71	71	0	
13	13	13	13	0	0	13	13	0	13	0	13	13	13	13	13	0	0	0	13	
0	80	0	80	0	0	80	0	80	80	80	0	0	80	0	80	80	0	80	80	
0	75	0	0	0	0	0	0	0	0	0	75	0	75	0	75	0	75	75	75	
85	85	0	85	0	85	0	0	0	85	0	85	85	85	0	85	0	85	85	85	
11	11	11	11	11	11	11	0	11	0	0	11	11	11	0	0	0	0	11	0	
0	0	37	0	0	37	0	37	37	37	37	0	0	37	37	0	0	0	0	37	
0	0	57	57	57	57	0	57	0	57	57	57	0	0	0	0	57	57	57	0	
0	42	0	42	0	0	42	0	42	42	0	0	42	0	0	0	0	42	0	42	
33	0	0	33	33	0	0	0	33	0	33	33	0	0	33	33	0	0	0	0	
92	0	0	0	92	0	92	92	0	92	0	92	92	0	0	92	0	0	92	0	
30	0	30	30	30	0	30	0	30	0	30	30	0	30	30	30	0	0	30	0	
0	0	63	63	63	63	63	63	0	0	63	0	0	63	0	63	0	0	63	0	
44	0	44	0	44	44	0	44	0	44	0	0	0	0	44	0	44	0	44	44	
97	97	0	0	0	0	97	0	97	0	97	97	97	97	97	0	0	0	0	97	
59	0	0	0	59	0	59	59	0	0	59	0	59	59	59	59	59	59	59	0	
0	0	0	74	74	0	0	0	0	0	0	0	74	0	74	74	0	0	0	0	
88	0	0	88	88	88	88	88	0	88	0	88	0	0	88	0	88	0	0	0	
14	14	14	14	0	0	0	0	14	14	14	0	14	0	14	0	14	14	14	14	
87	87	0	0	0	0	87	0	87	87	0	87	87	0	0	87	0	0	0	0	
0	45	0	0	45	45	45	0	45	45	45	45	45	45	0	45	45	45	45	45	
0	0	0	0	85	85	85	0	0	85	0	0	0	0	85	85	0	85	85	0	
0	0	0	0	10	10	0	10	0	10	10	10	0	0	0	0	10	10	0	10	
90	90	0	0	90	90	0	90	0	90	0	90	0	90	0	90	0	90	0	0	
15	15	0	0	0	15	0	15	15	15	0	15	0	0	15	0	15	15	0	15	
0	0	58	58	58	0	58	0	58	0	0	0	58	58	0	0	0	0	58	0	
30	30	30	30	30	0	30	0	0	0	0	30	0	0	0	0	30	0	30	0	
55	55	55	0	0	0	55	0	55	0	55	55	0	55	55	0	55	0	0	0	
26	0	0	26	0	26	26	0	0	0	26	0	26	26	0	0	26	0	26	26	
0	0	0	46	0	0	46	46	0	46	46	0	46	0	0	0	0	0	46	0	
63	0	0	0	63	0	63	63	63	63	0	0	63	63	63	63	0	0	63	63	
0	65	0	0	0	65	0	65	65	65	65	0	65	65	65	0	0	65	0	0	
0	47	47	0	47	0	0	0	47	0	47	47	47	47	47	47	47	47	0	47	
0	91	0	0	91	0	91	0	91	0	0	91	0	91	0	0	91	0	91	91	
40	40	0	40	40	40	40	0	0	0	0	40	0	40	40	0	40	40	40	40	
20	0	20	0	20	0	0	20	0	0	0	0	0	20	20	0	20	0	20	0	
